nickname,count,every,age
Divočák,8,5201,v2
Áda,8,1656,v4
Bobek,8,2485,v4
Dubínek,8,3591,v3
Fifi,8,2394,v3
Ali,8,564,v6
Číča,8,1128,v6
Bobo,8,1669,v5
Bobina,8,1057,v7
Bárt,8,4969,v4
Bořek,8,3591,v3
Elis,8,1669,v5
Brumík,8,3591,v3
Čip,8,2485,v4
Ufo,7,2113,v7
Strejda,7,2485,v4
Srdíčko,7,4364,v1
Žužla,7,3591,v3
Tygřice,7,5818,v1
Výr,7,1669,v5
Žolík,7,1128,v6
Silák,7,4364,v1
Taťka,7,556,v5
Simča,7,2485,v4
Steve,7,3591,v3
Světýlko,7,2485,v4
Střelec,7,4969,v4
Zelí,7,1128,v6
Střelka,7,1656,v4
Šneček,7,5201,v2
ŠTĚPA,7,3591,v3
Standa,7,1656,v4
Véna,7,1656,v4
Vořech,7,2394,v3
Mandarinka,7,6502,v2
Marek,7,2485,v4
Majkl,7,2485,v4
Rybář,7,1128,v6
Mašinka,7,1656,v4
Orlík,7,1128,v6
Oliva,7,564,v6
Mrož,7,3591,v3
Pepek,7,1669,v5
Polda,7,2394,v3
Rybička,7,3591,v3
Renča,7,556,v5
Róza,7,5201,v2
peťan,7,4969,v4
Růža,7,1128,v6
Páťa,7,3591,v3
Ryba,7,4969,v4
Matouš,7,1669,v5
Rocky,7,2394,v3
Máca,7,1242,v4
Olda,7,564,v6
Lepidlo,7,3491,v1
Jedlík,7,4969,v4
Gogo,7,3591,v3
Krab,7,2485,v4
Kolíček,7,3715,v2
Hvězdář,7,1669,v5
Hanča,7,1796,v3
Golem,7,2485,v4
Lovec,7,1128,v6
Kryšot,7,2485,v4
Kolečko,7,1057,v7
Kajman,7,2113,v7
Jehlička,7,1128,v6
Jíra,7,1057,v7
Kaštan,7,1128,v6
Hádě,7,4969,v4
Lištička,7,5818,v1
Jíťa,7,835,v5
Lojza,7,1242,v4
Kapka,7,4969,v4
Hop,7,1656,v4
Jarda,7,835,v5
Kovboj,7,4335,v2
Any,7,1128,v6
Číňan,7,1128,v6
Baterka,7,3591,v3
Bart,7,3591,v3
AGI,7,1669,v5
Dědek,7,1057,v7
Ďáblík,7,4335,v2
Diblík,7,1128,v6
Bambi,7,1669,v5
Dobby,7,3591,v3
Bubo,7,1656,v4
Dory,7,4364,v1
Bambus,7,1669,v5
Anděl,7,3591,v3
Apač,7,3591,v3
Ananas,7,3591,v3
Eli,7,5201,v2
Brumla,7,1128,v6
Vrtule,6,2485,v4
Špendlík,6,3591,v3
Váša,6,1128,v6
Téra,6,1656,v4
Žížalka,6,3591,v3
Wendy,6,1057,v7
Venda,6,6502,v2
Šťovík,6,2113,v7
Žárovka,6,6502,v2
Surikata,6,6502,v2
Speedy,6,4969,v4
Švejk,6,556,v5
Sisi,6,1128,v6
Troll,6,5201,v2
Zubr,6,2113,v7
Víla,6,4969,v4
Vláďa,6,1057,v7
Vajíčko,6,5201,v2
Tim,6,564,v6
Šimi,6,835,v5
Skrblík,6,1669,v5
Vali,6,2113,v7
Sardinka,6,1128,v6
Zmrzlík,6,2485,v4
Tobi,6,3591,v3
Zmrzlina,6,6502,v2
Sten,6,704,v7
Slavík,6,7182,v3
Šťoura,6,1057,v7
Zrzek,6,835,v5
Sumec,6,835,v5
Tulák,6,1669,v5
Žvejk,6,4969,v4
Prskavka,6,1669,v5
Punťa,6,2113,v7
Milda,6,835,v5
Pecka,6,3591,v3
Permoník,6,2485,v4
Raf,6,2485,v4
Okoun,6,3591,v3
Myšpulín,6,3591,v3
Rozinka,6,5818,v1
Oskar,6,1128,v6
Nanuk,6,3591,v3
Minnie,6,6502,v2
Mimi,6,1669,v5
Rarášek,6,5201,v2
Ronja,6,4969,v4
Mikeš,6,3591,v3
Pes,6,2113,v7
Písnička,6,5818,v1
Mim,6,5201,v2
Preclík,6,2113,v7
Rozum,6,3591,v3
Pařez,6,1128,v6
Puntík,6,4969,v4
Námořník,6,4969,v4
Myš,6,2485,v4
Párek,6,6502,v2
Márty,6,835,v5
Petr,6,1128,v6
Proužek,6,3591,v3
Ptáček,6,7182,v3
Padáček,6,2113,v7
Lulu,6,1128,v6
Kanička,6,3591,v3
Kosatka,6,4969,v4
Klíček,6,4969,v4
Kvítek,6,6502,v2
Kloky,6,2394,v3
Kryštof,6,6502,v2
Lepík,6,6502,v2
Kobylka,6,6502,v2
Limetka,6,4335,v2
Luďa,6,1128,v6
Háček,6,3591,v3
Luke,6,835,v5
Jitřenka,6,704,v7
Jezinka,6,1128,v6
Krteček,6,6502,v2
Chemik,6,1656,v4
Joker,6,3591,v3
Langoš,6,1669,v5
Kid,6,1669,v5
Jim,6,1128,v6
Guma,6,1128,v6
Lečo,6,3591,v3
Janka,6,1057,v7
Krokouš,6,7182,v3
Locika,6,5818,v1
Kolumbus,6,4969,v4
Kostík,6,6502,v2
